project,test_case_1,test_case_2,combined_subtree_size,combined_similarity
Csv_1,ExtendedBufferedReader_7_3Test,ExtendedBufferedReader_7_6Test,13,0.590909
Csv_1,ExtendedBufferedReader_7_6Test,ExtendedBufferedReader_7_3Test,13,0.590909
Csv_1,ExtendedBufferedReader_7_5Test,ExtendedBufferedReader_7_3Test,22,0.647059
Csv_1,ExtendedBufferedReader_7_1Test,ExtendedBufferedReader_7_3Test,25,0.357143
Csv_1,ExtendedBufferedReader_3_1Test,ExtendedBufferedReader_3_2Test,35,0.707071
Csv_1,ExtendedBufferedReader_3_2Test,ExtendedBufferedReader_3_1Test,35,0.707071
Csv_1,ExtendedBufferedReader_3_4Test,ExtendedBufferedReader_3_1Test,36,0.489796
Csv_1,ExtendedBufferedReader_3_3Test,ExtendedBufferedReader_3_1Test,34,0.511278
Csv_1,ExtendedBufferedReader_3_6Test,ExtendedBufferedReader_3_1Test,17,0.500000
Csv_1,ExtendedBufferedReader_3_5Test,ExtendedBufferedReader_3_1Test,40,0.701754
Csv_1,ExtendedBufferedReader_5_6Test,ExtendedBufferedReader_5_4Test,50,0.909091
Csv_1,ExtendedBufferedReader_5_4Test,ExtendedBufferedReader_5_6Test,50,0.909091
Csv_1,ExtendedBufferedReader_5_1Test,ExtendedBufferedReader_5_6Test,51,0.693878
Csv_1,ExtendedBufferedReader_2_6Test,ExtendedBufferedReader_2_4Test,67,0.620370
Csv_1,ExtendedBufferedReader_2_4Test,ExtendedBufferedReader_2_6Test,67,0.620370
Csv_1,ExtendedBufferedReader_2_1Test,ExtendedBufferedReader_2_6Test,40,0.761905
Csv_1,ExtendedBufferedReader_2_5Test,ExtendedBufferedReader_2_6Test,52,0.748201
Csv_1,ExtendedBufferedReader_2_3Test,ExtendedBufferedReader_2_6Test,61,0.792208
Csv_1,ExtendedBufferedReader_4_2Test,ExtendedBufferedReader_4_1Test,48,0.359551
Csv_1,ExtendedBufferedReader_4_1Test,ExtendedBufferedReader_4_2Test,48,0.359551
Csv_1,ExtendedBufferedReader_4_3Test,ExtendedBufferedReader_4_2Test,84,0.646154
Csv_1,ExtendedBufferedReader_4_5Test,ExtendedBufferedReader_4_2Test,64,0.649746
Csv_1,ExtendedBufferedReader_4_4Test,ExtendedBufferedReader_4_2Test,61,0.564815
Csv_1,ExtendedBufferedReader_4_6Test,ExtendedBufferedReader_4_2Test,86,0.649057
Csv_1,ExtendedBufferedReader_6_1Test,ExtendedBufferedReader_6_2Test,22,0.295302
Csv_1,ExtendedBufferedReader_6_2Test,ExtendedBufferedReader_6_1Test,22,0.295302
Csv_1,ExtendedBufferedReader_6_5Test,ExtendedBufferedReader_6_1Test,43,0.500000
Csv_1,ExtendedBufferedReader_6_4Test,ExtendedBufferedReader_6_1Test,48,0.561404
Csv_1,ExtendedBufferedReader_6_6Test,ExtendedBufferedReader_6_1Test,34,0.422360
Csv_1,ExtendedBufferedReader_6_3Test,ExtendedBufferedReader_6_1Test,26,0.361111
Csv_1,ExtendedBufferedReader_1_4Test,ExtendedBufferedReader_1_6Test,115,0.867925
Csv_1,ExtendedBufferedReader_1_6Test,ExtendedBufferedReader_1_4Test,115,0.867925
Csv_1,ExtendedBufferedReader_1_5Test,ExtendedBufferedReader_1_4Test,41,0.496970
