project_name,test_class,test_method,buggy_status,fixed_status,bug_revealing,buggy_rc,fixed_rc,notes
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testConstructor,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testReadDelegatesToReader,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testReadCharArray,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testReadLineDelegatesToSuper,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testLookAheadMethod,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testReadAgainMethod,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_1Test,testGetLineNumberMethod,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadReturnsChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadAgainReturnsChar,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadAgainReturnsEndOfStream,fail,fail,false,1,1,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadCharArray,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadLineReturnsLine,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testReadLineReturnsNullAtEOF,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testLookAheadReturnsChar,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testLookAheadReturnsEndOfStream,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testGetLineNumberInitial,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_2Test,testGetLineNumberAfterReadingLine,timeout,timeout,false,None,None,timeout
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_3Test,testConstructor,pass,pass,false,0,0,
csv_1,org.apache.commons.csv.ExtendedBufferedReader_1_3Test,testRead,timeout,timeout,false,None,None,timeout
