project,test_class,per_line_cov,per_line_total,per_line_rate,per_branch_cov,per_branch_total,per_branch_rate,proj_line_cov,proj_line_total,proj_line_rate,proj_branch_cov,proj_branch_total,proj_branch_rate,line_contrib_pct,branch_contrib_pct
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_3_1Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_5_1Test,11,455,2.42,4,292,1.37,28,455,6.15,18,292,6.16,39.29,22.22
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_4_1Test,19,455,4.18,14,292,4.79,28,455,6.15,18,292,6.16,67.86,77.78
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_7_1Test,11,455,2.42,2,292,0.68,28,455,6.15,18,292,6.16,39.29,11.11
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_3_2Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_5_2Test,10,455,2.2,3,292,1.03,28,455,6.15,18,292,6.16,35.71,16.67
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_7_2Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_7_3Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_3_3Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_4_3Test,19,455,4.18,14,292,4.79,28,455,6.15,18,292,6.16,67.86,77.78
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_5_3Test,4,455,0.88,0,292,0.0,28,455,6.15,18,292,6.16,14.29,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_2_3Test,4,455,0.88,0,292,0.0,28,455,6.15,18,292,6.16,14.29,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_7_4Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_5_4Test,11,455,2.42,4,292,1.37,28,455,6.15,18,292,6.16,39.29,22.22
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_3_4Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_6_4Test,4,455,0.88,0,292,0.0,28,455,6.15,18,292,6.16,14.29,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_2_4Test,4,455,0.88,0,292,0.0,28,455,6.15,18,292,6.16,14.29,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,6,455,1.32,1,292,0.34,28,455,6.15,18,292,6.16,21.43,5.56
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_7_5Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,6,455,1.32,1,292,0.34,28,455,6.15,18,292,6.16,21.43,5.56
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_5_5Test,11,455,2.42,4,292,1.37,28,455,6.15,18,292,6.16,39.29,22.22
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_3_5Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_5_6Test,4,455,0.88,0,292,0.0,28,455,6.15,18,292,6.16,14.29,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_7_6Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
Csv_1_b,org.apache.commons.csv.ExtendedBufferedReader_3_6Test,5,455,1.1,0,292,0.0,28,455,6.15,18,292,6.16,17.86,0.0
