project,target_class,test_class,m_per_line_cov,m_per_line_total,m_per_line_rate,m_per_branch_cov,m_per_branch_total,m_per_branch_rate,branch_contrib_pct,coverage_score
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_3_1Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_5_1Test,11,37,29.7297,4,22,18.1818,18.1818,0.251105
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_4_1Test,19,37,51.3514,14,22,63.6364,63.6364,0.562654
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_1Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_7_1Test,11,37,29.7297,2,22,9.0909,9.0909,0.214742
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_3_2Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_5_2Test,10,37,27.027,3,22,13.6364,13.6364,0.216708
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_7_2Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_7_3Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_3_3Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_4_3Test,19,37,51.3514,14,22,63.6364,63.6364,0.562654
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_5_3Test,4,37,10.8108,0,22,0.0,0.0,0.064865
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_3Test,4,37,10.8108,0,22,0.0,0.0,0.064865
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_7_4Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_5_4Test,11,37,29.7297,4,22,18.1818,18.1818,0.251105
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_3_4Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_6_4Test,4,37,10.8108,0,22,0.0,0.0,0.064865
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_2_4Test,4,37,10.8108,0,22,0.0,0.0,0.064865
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_4_4Test,6,37,16.2162,1,22,4.5455,4.5455,0.115479
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_7_5Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_4_5Test,6,37,16.2162,1,22,4.5455,4.5455,0.115479
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_5_5Test,11,37,29.7297,4,22,18.1818,18.1818,0.251105
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_3_5Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_5_6Test,4,37,10.8108,0,22,0.0,0.0,0.064865
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_7_6Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_3_6Test,5,37,13.5135,0,22,0.0,0.0,0.081081
Csv_1_b,ExtendedBufferedReader,org.apache.commons.csv.ExtendedBufferedReader_4_6Test,19,37,51.3514,14,22,63.6364,63.6364,0.562654
